Financial Year,"Total Investments (In INR crores) into equity,debt,hybrid"
2000,9933
2001,8763
2002,2689
2003,45765
2004,45881
2005,41467
2006,30840
2007,66179
2008,-45811
2009,142658
2010,146438
2011,93729
2012,168367
2013,51649
2014,277461
2015,-18176
2016,48411
2017,144682
2018,-94488
2019,160000
2020,260000
2021,26000
