Sector,States/All India, 03-1994, 03-1995, 03-1996, 03-1997, 03-1998, 03-1999, 03-2000, 03-2001, 03-2002, 03-2003, 03-2004, 03-2005, 11-2005, 12-2005, 01-2006, 02-2006, 03-2006, 04-2006, 05-2006, 06-2006, 07-2006, 08-2006, 03-2007, 03-2008, 03-2009, 03-2010, 03-2011, 03-2012, 11-2012, 12-2012, 01-2013, 02-2013, 03-2013, 04-2013, 06-2013, 08-2013, 10-2013, 11-2013, 12-2013, 01-2014
Fibre Textile Mills - Non Small Scale Industry - Public - Central,Uttaranchal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - Central,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3832.00,3975.00,NA,NA,NA,NA,3157.00,NA,NA,NA,NA,NA,838.00,838.00,838.00,838.00,838.00,655.00,NA,NA,NA,NA,665.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70893.00,70475.00,NA,NA,NA,NA,69887.00,NA,NA,NA,NA,NA,65777.00,63738.00,61265.00,61265.00,60241.00,59710.00,NA,NA,NA,NA,57771.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1483.00,1483.00,NA,NA,NA,NA,1483.00,NA,NA,NA,NA,NA,1483.00,1483.00,1483.00,1483.00,1483.00,1483.00,NA,NA,NA,NA,1483.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.00,103.00,NA,NA,NA,NA,103.00,NA,NA,NA,NA,NA,286.00,286.00,286.00,286.00,286.00,286.00,NA,NA,NA,NA,286.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Chhattisgarth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Dadra Nagra Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16868.00,16868.00,NA,NA,NA,NA,16868.00,NA,NA,NA,NA,NA,16868.00,16868.00,16868.00,16868.00,16868.00,16868.00,NA,NA,NA,NA,16868.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,965.00,965.00,NA,NA,NA,NA,965.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.00,344.00,NA,NA,NA,NA,344.00,NA,NA,NA,NA,NA,344.00,344.00,344.00,344.00,344.00,344.00,NA,NA,NA,NA,344.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3312.00,3247.00,NA,NA,NA,NA,3022.00,NA,NA,NA,NA,NA,2136.00,2106.00,2088.00,2088.00,2162.00,2400.00,NA,NA,NA,NA,2716.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2526.00,2526.00,NA,NA,NA,NA,2526.00,NA,NA,NA,NA,NA,2526.00,2526.00,1559.00,1559.00,1559.00,1559.00,NA,NA,NA,NA,1559.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9877.00,9877.00,NA,NA,NA,NA,9877.00,NA,NA,NA,NA,NA,7896.00,7896.00,7896.00,7896.00,6674.00,6674.00,NA,NA,NA,NA,6674.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350.00,350.00,NA,NA,NA,NA,350.00,NA,NA,NA,NA,NA,350.00,350.00,350.00,350.00,350.00,350.00,NA,NA,NA,NA,350.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Orissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7232.00,7232.00,NA,NA,NA,NA,7232.00,NA,NA,NA,NA,NA,7232.00,7232.00,6142.00,6142.00,6142.00,6142.00,NA,NA,NA,NA,5125.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3950.00,3842.00,NA,NA,NA,NA,3750.00,NA,NA,NA,NA,NA,3903.00,3718.00,3557.00,3557.00,3139.00,2777.00,NA,NA,NA,NA,2574.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.00,212.00,NA,NA,NA,NA,212.00,NA,NA,NA,NA,NA,212.00,212.00,212.00,212.00,212.00,212.00,NA,NA,NA,NA,212.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545.00,545.00,NA,NA,NA,NA,545.00,NA,NA,NA,NA,NA,545.00,545.00,214.00,214.00,214.00,214.00,NA,NA,NA,NA,214.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18233.00,18059.00,NA,NA,NA,NA,17868.00,NA,NA,NA,NA,NA,17324.00,17245.00,17245.00,17245.00,17245.00,17243.00,NA,NA,NA,NA,17088.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,Uttaranchal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2368.00,2368.00,NA,NA,NA,NA,2368.00,NA,NA,NA,NA,NA,2368.00,770.00,934.00,934.00,1607.00,1356.00,NA,NA,NA,NA,634.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Public - State,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2525.00,2454.00,NA,NA,NA,NA,2374.00,NA,NA,NA,NA,NA,2304.00,2157.00,2087.00,2087.00,1956.00,1802.00,NA,NA,NA,NA,1644.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109401.00,108877.00,NA,NA,NA,NA,108602.00,NA,NA,NA,NA,NA,106960.00,95840.00,94831.00,94831.00,87196.00,87437.00,NA,NA,NA,NA,88597.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6340.00,6186.00,NA,NA,NA,NA,5771.00,NA,NA,NA,NA,NA,5579.00,3936.00,3377.00,3377.00,3377.00,3377.00,NA,NA,NA,NA,3377.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1586.00,1586.00,NA,NA,NA,NA,1586.00,NA,NA,NA,NA,NA,1586.00,1586.00,1586.00,1586.00,1586.00,1586.00,NA,NA,NA,NA,1586.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920.00,920.00,NA,NA,NA,NA,920.00,NA,NA,NA,NA,NA,920.00,920.00,920.00,920.00,920.00,920.00,NA,NA,NA,NA,920.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Chhattisgarth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Dadra Nagra Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4285.00,4285.00,NA,NA,NA,NA,4285.00,NA,NA,NA,NA,NA,4285.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6680.00,6583.00,NA,NA,NA,NA,6307.00,NA,NA,NA,NA,NA,5927.00,5851.00,5703.00,5703.00,5017.00,5026.00,NA,NA,NA,NA,4952.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2363.00,2089.00,NA,NA,NA,NA,2166.00,NA,NA,NA,NA,NA,2011.00,1877.00,1977.00,1977.00,1796.00,1795.00,NA,NA,NA,NA,1802.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.00,1470.00,NA,NA,NA,NA,1470.00,NA,NA,NA,NA,NA,1470.00,1470.00,1636.00,1636.00,1800.00,1800.00,NA,NA,NA,NA,1786.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48129.00,48487.00,NA,NA,NA,NA,50274.00,NA,NA,NA,NA,NA,49268.00,48151.00,48047.00,48047.00,41349.00,41753.00,NA,NA,NA,NA,43055.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Orissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6142.00,6170.00,NA,NA,NA,NA,6170.00,NA,NA,NA,NA,NA,6170.00,6170.00,6170.00,6170.00,6170.00,6170.00,NA,NA,NA,NA,6170.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.00,1119.00,NA,NA,NA,NA,1119.00,NA,NA,NA,NA,NA,1110.00,1106.00,806.00,806.00,1091.00,1091.00,NA,NA,NA,NA,1082.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6696.00,6696.00,NA,NA,NA,NA,6696.00,NA,NA,NA,NA,NA,6696.00,2901.00,2901.00,2901.00,2387.00,2387.00,NA,NA,NA,NA,2387.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4877.00,4665.00,NA,NA,NA,NA,3534.00,NA,NA,NA,NA,NA,3671.00,3859.00,3543.00,3543.00,3395.00,3270.00,NA,NA,NA,NA,3107.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8355.00,8171.00,NA,NA,NA,NA,8166.00,NA,NA,NA,NA,NA,8080.00,8150.00,8144.00,8144.00,8240.00,8194.00,NA,NA,NA,NA,8305.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9461.00,9451.00,NA,NA,NA,NA,9139.00,NA,NA,NA,NA,NA,9188.00,8864.00,8889.00,8889.00,8936.00,8936.00,NA,NA,NA,NA,8936.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Uttaranchal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999.00,999.00,NA,NA,NA,NA,999.00,NA,NA,NA,NA,NA,999.00,999.00,1132.00,1132.00,1132.00,1132.00,NA,NA,NA,NA,1132.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643116.00,635858.00,NA,NA,NA,NA,642088.00,NA,NA,NA,NA,NA,651324.00,607030.00,624663.00,630391.00,672147.00,689754.00,NA,NA,NA,NA,698311.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29526.00,29971.00,NA,NA,NA,NA,30415.00,NA,NA,NA,NA,NA,30869.00,31212.00,34748.00,35481.00,45799.00,49885.00,NA,NA,NA,NA,51721.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795.00,795.00,NA,NA,NA,NA,795.00,NA,NA,NA,NA,NA,795.00,795.00,795.00,795.00,795.00,795.00,NA,NA,NA,NA,795.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1529.00,1529.00,NA,NA,NA,NA,1529.00,NA,NA,NA,NA,NA,1029.00,1029.00,1029.00,1029.00,1029.00,1029.00,NA,NA,NA,NA,1029.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Chhattisgarth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225.00,1225.00,NA,NA,NA,NA,1225.00,NA,NA,NA,NA,NA,1225.00,1225.00,1225.00,1225.00,1225.00,1225.00,NA,NA,NA,NA,1225.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Dadra Nagra Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2307.00,2307.00,NA,NA,NA,NA,2350.00,NA,NA,NA,NA,NA,2356.00,2463.00,4239.00,4233.00,5113.00,4784.00,NA,NA,NA,NA,4866.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.00,180.00,NA,NA,NA,NA,180.00,NA,NA,NA,NA,NA,180.00,180.00,180.00,180.00,180.00,180.00,NA,NA,NA,NA,180.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.00,72.00,NA,NA,NA,NA,72.00,NA,NA,NA,NA,NA,72.00,72.00,72.00,72.00,72.00,72.00,NA,NA,NA,NA,72.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77261.00,75782.00,NA,NA,NA,NA,71879.00,NA,NA,NA,NA,NA,72192.00,55714.00,55626.00,55635.00,81042.00,80418.00,NA,NA,NA,NA,78666.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18152.00,17915.00,NA,NA,NA,NA,17757.00,NA,NA,NA,NA,NA,13226.00,13721.00,13366.00,13366.00,12888.00,12446.00,NA,NA,NA,NA,12534.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13628.00,13292.00,NA,NA,NA,NA,13527.00,NA,NA,NA,NA,NA,13923.00,13698.00,14125.00,14049.00,13829.00,12951.00,NA,NA,NA,NA,18704.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3776.00,3861.00,NA,NA,NA,NA,5798.00,NA,NA,NA,NA,NA,5142.00,6607.00,6607.00,6607.00,6140.00,6140.00,NA,NA,NA,NA,5916.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707.00,707.00,NA,NA,NA,NA,707.00,NA,NA,NA,NA,NA,707.00,707.00,707.00,707.00,707.00,707.00,NA,NA,NA,NA,707.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21017.00,21020.00,NA,NA,NA,NA,21249.00,NA,NA,NA,NA,NA,20478.00,20543.00,20731.00,20731.00,19964.00,14534.00,NA,NA,NA,NA,14072.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7578.00,8015.00,NA,NA,NA,NA,7156.00,NA,NA,NA,NA,NA,7164.00,5918.00,5879.00,6072.00,6755.00,6640.00,NA,NA,NA,NA,6584.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43998.00,43664.00,NA,NA,NA,NA,43570.00,NA,NA,NA,NA,NA,43640.00,44975.00,46847.00,47984.00,50414.00,53412.00,NA,NA,NA,NA,55146.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86029.00,84266.00,NA,NA,NA,NA,83450.00,NA,NA,NA,NA,NA,81674.00,46333.00,48861.00,47857.00,46878.00,46750.00,NA,NA,NA,NA,45845.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Orissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2355.00,2355.00,NA,NA,NA,NA,2355.00,NA,NA,NA,NA,NA,2355.00,2355.00,2355.00,2355.00,2355.00,2355.00,NA,NA,NA,NA,2690.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378.00,1380.00,NA,NA,NA,NA,1297.00,NA,NA,NA,NA,NA,1197.00,1122.00,1204.00,1204.00,975.00,951.00,NA,NA,NA,NA,913.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44483.00,44892.00,NA,NA,NA,NA,47294.00,NA,NA,NA,NA,NA,49625.00,49283.00,51198.00,52443.00,55787.00,59667.00,NA,NA,NA,NA,62244.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48891.00,48679.00,NA,NA,NA,NA,50229.00,NA,NA,NA,NA,NA,53401.00,56735.00,57364.00,61439.00,55667.00,67179.00,NA,NA,NA,NA,66435.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181189.00,179473.00,NA,NA,NA,NA,185612.00,NA,NA,NA,NA,NA,197449.00,199786.00,205138.00,204801.00,209846.00,213723.00,NA,NA,NA,NA,213710.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27271.00,24866.00,NA,NA,NA,NA,24809.00,NA,NA,NA,NA,NA,23312.00,23128.00,22857.00,22691.00,22751.00,22177.00,NA,NA,NA,NA,22285.00,NA,NA,NA,NA,NA,NA,NA
